ID;Esti...;Care este varsta ta in ani impliniti?;Locuiesti in mediul...;in ce judet locuiesti?;Cu ce frecventa te uiti la televizor? *Raspuns unic.*;Care este ultima forma de invatamant pe care ai absolvit-o?;Care este starea ta civila?;Ai copii?;Cati copii ai?;Cate persoane locuiesc cu tine permanent (nu doar in vizita)? Daca locuiesti singur(a), scrie 0.;Care este ocupatia ta curenta?;incadreaza venitul tau total net in una dintre categoriile urmatoare:;in ce masura iti place sau nu aceasta reclama?;si in ce masura simti ca ti se adreseaza/ se potriveste pentru tine personal, serviciul promovat?;Voi contracta serviciile Brand 3;Cum consideri pretul de *24.6 Ron (5 euro) / luna* pentru *un abonament lunar al serviciului de streaming al Brand 3?;Cum consideri pretul de *39.4 Ron (8 euro) / luna* pentru un abonament lunar de *daca ar include si continut suplimentar?*;Folosind o scala de la 0 la 10, in ce masura ai recomanda familiei, prietenilor, cunoscutilor *furnizorul de televiziune pe care il folosesti in prezent*?;Intentionezi ca in urmatoarele 6 luni sa schimbi furnizorul actual de servicii de televiziune? *Raspuns unic.*;Pe langa serviciile de televiziune traditionala, in ce masura iei in considerare contractarea serviciilor de televiziune online sau streaming? *Raspuns unic.*;Care *cel mai important motiv* pentru care *nu te uiti* la televizor? (Alege un singurul motiv, cel care primeaza in decizia de a nu te uita la TV.);Care este criteriul pentru care alegeti un serviciu de televiziune?;;;;;;;;;;;;;;Acasa, ce tip de televiziune urmaresti?;;;;
2870;Barbat;31;Urban;IASI;Zilnic;Studii postuniversitare (master, doctorat);Divortat/a / Separat/a;Da;1 copil;6;Manager / director;1.701 - 2.000 lei;Asa si-asa;Asa si-asa;Poate da, poate nu;Acceptabil;Scump;8;Probabil il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;Nu gasesc valoare in continutul de la TV;Grila de programe variata;;;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;;Sa transmita prin fibra optica;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);;;;;;Televiziune prin cablu;;;;
2871;Femeie;53;Rural;DAMBOVITA;Zilnic;Facultate (3-5 ani);Uniune consensuala/ Casatorit/a;Da;1 copil;3;Muncitor calificat;Nu realizez venituri;Asa si-asa;Asa si-asa;Poate da, poate nu;Ieftin;Scump;9;Probabil NU il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;As vrea sa ma uit, dar nu am timp;;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;;;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);;;Sa aiba acoperire ampla (nu doar in Romania);;;;Televiziune prin satelit;;;
2872;Barbat;61;Urban;CLUJ;De 4-5 ori pe saptamana;Studii postuniversitare (master, doctorat);Uniune consensuala/ Casatorit/a;Nu;;1;Inginer, economist, doctor, professor;Nu realizez venituri;imi place mult;Asa si-asa;Cu siguranta da;;;9;Poate il voi schimba, poate nu;Probabil NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;Grila de programe variata;Multe filme/ seriale;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;;Sa transmita prin fibra optica;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;Sa aiba acoperire ampla (nu doar in Romania);Sa pot alege cand platesc si cand nu (cartela pre-paid);;;Televiziune prin satelit;;;
2873;Barbat;20;Rural;NEAMT;Zilnic;Facultate (3-5 ani);Uniune consensuala/ Casatorit/a;Da;2 copii;3;Inginer, economist, doctor, professor;Nu realizez venituri;Asa si-asa;Asa si-asa;Poate da, poate nu;;;8;Probabil NU il voi schimba in urmatoarele 6 luni;Probabil NU voi contracta servicii de TV online sau streaming;Nu gasesc valoare in continutul de la TV;Grila de programe variata;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;;;;Sa transmita prin fibra optica;;Sa aiba oferte/ promotii;;;;;Televiziune prin cablu;;;;
2874;Barbat;55;Urban;BUCURESTI;Zilnic;Liceu (12 clase);Necasatorit/a;Nu;;2;Elev / Student;;Asa si-asa;Asa si-asa;Probabil da;Acceptabil;Scump;8;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;Nu gasesc valoare in continutul de la TV;Grila de programe variata;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;;Vechimea pe piata;Sa aiba pachet complet (cu internet);Sa transmita prin fibra optica;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);;;Sa aiba acoperire ampla (nu doar in Romania);Sa pot alege cand platesc si cand nu (cartela pre-paid);;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
2875;Barbat;70;Urban;HUNEDOARA;Zilnic;Studii postuniversitare (master, doctorat);Uniune consensuala/ Casatorit/a;Da;1 copil;4;Functionar;3.001 - 4.000 lei;imi place mult;Asa si-asa;Probabil da;Scump;Scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;;;;;;Sa aiba acoperire ampla (nu doar in Romania);;;Televiziune prin cablu;;;;
2876;Barbat;33;Rural;SIBIU;Zilnic;Facultate (3-5 ani);Uniune consensuala/ Casatorit/a;Da;1 copil;2;Nu lucrez;3.001 - 4.000 lei;Nu prea-mi place;Nu prea mi se potriveste;Cu siguranta nu;Acceptabil;Prea scump;9;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;Prefer surse mai moderne de divertisment (internet, social media etc.);;;;;;;Sa aiba pachet complet (cu internet);;;;;;;;;Televiziune prin satelit;;;
2877;Barbat;56;Urban;TULCEA;Zilnic;Studii postuniversitare (master, doctorat);Uniune consensuala/ Casatorit/a;Nu;;3;Inginer, economist, doctor, professor;5.001 - 6.500 lei;imi place mult;Asa si-asa;Probabil da;Scump;Prea scump;8;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;Ma distrage de la alte activitati/ as pierde timpul;;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;;;;;;Sa aiba oferte/ promotii;;Sa aiba acoperire ampla (nu doar in Romania);;;Televiziune prin cablu;;;;
2878;Femeie;55;Urban;IASI;Zilnic;Treapta 1 de liceu (10 clase);Necasatorit/a;Da;1 copil;2;Nu lucrez;1.701 - 2.000 lei;imi place foarte mult;Mi se potriveste foarte bine;Probabil da;Scump;Prea scump;8;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;As vrea sa ma uit, dar nu am timp;;;;;;;;;;;;Sa aiba acoperire ampla (nu doar in Romania);;;;Televiziune prin satelit;;;
2879;Barbat;43;Rural;NEAMT;Zilnic;Treapta 1 de liceu (10 clase);Uniune consensuala/ Casatorit/a;Da;4 copii;4;Muncitor calificat;2.001 - 3.000 lei;Nu-mi place deloc;Nu prea mi se potriveste;Poate da, poate nu;Prea scump;Scump;8;Probabil NU il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;;Sa aiba semnal bun/ de calitate;;;;;;;;;;;Televiziune prin cablu;;;;
2880;Femeie;24;Urban;BUZAU;Zilnic;Facultate (3-5 ani);Uniune consensuala/ Casatorit/a;Da;1 copil;4;Muncitor calificat;3.001 - 4.000 lei;Asa si-asa;Nu prea mi se potriveste;Cu siguranta nu;Prea scump;Acceptabil;10;Probabil NU il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;As vrea sa ma uit, dar nu am timp;;;;;;;;;;Sa aiba oferte/ promotii;;;;;Televiziune prin cablu;;;;
2881;Femeie;25;Rural;PRAHOVA;De 4-5 ori pe saptamana;Liceu (12 clase);Necasatorit/a;Da;1 copil;3;Muncitor calificat;Refuz sa raspund;imi place foarte mult;Mi se potriveste foarte bine;Cu siguranta da;Acceptabil;Acceptabil;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Probabil voi contracta servicii de TV online sau streaming;Prefer surse mai moderne de divertisment (internet, social media etc.);;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;;;;;;;;;Televiziune prin cablu;;;;
2882;Barbat;41;Rural;BACAU;De 4-5 ori pe saptamana;Gimnaziu (8 clase);Necasatorit/a;Da;2 copii;6;Nu lucrez;Nu realizez venituri;Nu-mi place deloc;Nu mi se potriveste deloc;Cu siguranta da;Prea scump;Prea scump;8;Probabil NU il voi schimba in urmatoarele 6 luni;Probabil voi contracta servicii de TV online sau streaming;Nu gasesc valoare in continutul de la TV;;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;;;;;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;;;;;Televiziune prin satelit;;;
2883;Barbat;53;Rural;BRASOV;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;2 copii;1;Functionar;3.001 - 4.000 lei;imi place mult;Asa si-asa;Poate da, poate nu;Acceptabil;Acceptabil;9;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;;;;Vechimea pe piata;;;;;;;;;Televiziune prin cablu;;;;
2884;Femeie;55;Urban;ARAD;Zilnic;Treapta 1 de liceu (10 clase);Uniune consensuala/ Casatorit/a;Da;3 copii;1;Muncitor calificat;Refuz sa raspund;Asa si-asa;Asa si-asa;Poate da, poate nu;Acceptabil;Acceptabil;8;Poate il voi schimba, poate nu;Poate voi contracta, poate nu;Prefer surse mai moderne de divertisment (internet, social media etc.);;Multe filme/ seriale;;;;;Sa aiba pachet complet (cu internet);;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);;;Sa aiba acoperire ampla (nu doar in Romania);Sa pot alege cand platesc si cand nu (cartela pre-paid);;Televiziune prin cablu;;;;
2885;Barbat;33;Urban;PRAHOVA;Zilnic;Studii postuniversitare (master, doctorat);Uniune consensuala/ Casatorit/a;Da;2 copii;1;Nu lucrez;751 - 1.000 lei;Nu-mi place deloc;Nu mi se potriveste deloc;Cu siguranta nu;;;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;Grila de programe variata;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;;;;;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;Sa aiba acoperire ampla (nu doar in Romania);;;Televiziune prin cablu;;;;
2886;Barbat;50;Urban;GIURGIU;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;2 copii;1;Muncitor calificat;1.001 - 1.700 lei;imi place mult;Mi se potriveste destul de bine;Poate da, poate nu;;;9;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;Grila de programe variata;;;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;Sa aiba pachet complet (cu internet);Sa transmita prin fibra optica;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);Sa aiba oferte/ promotii;;;Sa pot alege cand platesc si cand nu (cartela pre-paid);;Televiziune prin cablu;;;;
2887;Barbat;48;Urban;TIMIS;O data la cateva luni sau mai rar;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;2 copii;2;Muncitor calificat;751 - 1.000 lei;Asa si-asa;Nu mi se potriveste deloc;Cu siguranta nu;Acceptabil;Scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;;;;;;;;;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;;Sa pot alege cand platesc si cand nu (cartela pre-paid);;Televiziune prin cablu;;;;
2888;Barbat;21;Rural;IASI;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;2 copii;2;Muncitor calificat;1.001 - 1.700 lei;Asa si-asa;Asa si-asa;Cu siguranta da;Acceptabil;Acceptabil;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;Ma distrage de la alte activitati/ as pierde timpul;Grila de programe variata;Multe filme/ seriale;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;;;;;;Sa aiba oferte/ promotii;;;;;Televiziune prin cablu;;;;
2889;Femeie;44;Rural;CLUJ;;Studii postuniversitare (master, doctorat);Necasatorit/a;Nu;;7;Elev / Student;3.001 - 4.000 lei;imi place foarte mult;Mi se potriveste foarte bine;Cu siguranta da;Scump;Scump;8;Poate il voi schimba, poate nu;Poate voi contracta, poate nu;As vrea sa ma uit, dar nu am timp;;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;;;;Sa transmita prin fibra optica;;Sa aiba oferte/ promotii;;;;;Televiziune prin cablu;;;;
2890;;;;;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;1 copil;3;Muncitor calificat;Nu realizez venituri;Nu-mi place deloc;Nu mi se potriveste deloc;Mai degraba nu;Acceptabil;Prea scump;;;;;;;;;;;;;;;;;;;Televiziune prin cablu;;Televiziune cu posibilitate de difuzare online (ex: Orange TV GO, Telekom mobile etc.);;
2891;Barbat;67;Rural;TELEORMAN;O data pe saptamana;;;;;2;;Nu realizez venituri;Asa si-asa;Mi se potriveste destul de bine;Poate da, poate nu;Acceptabil;Scump;9;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Probabil voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;Grila de programe variata;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;;;Sa aiba pachet complet (cu internet);Sa transmita prin fibra optica;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);Sa aiba oferte/ promotii;;;;;Televiziune prin cablu;;;;
2892;Barbat;24;Urban;BACAU;Zilnic;Facultate (3-5 ani);Vaduv/a;Da;2 copii;3;Inginer, economist, doctor, professor;1.001 - 1.700 lei;Asa si-asa;Asa si-asa;Probabil da;Prea scump;Prea scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;As vrea sa ma uit, dar nu am timp;Grila de programe variata;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;;;;;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;;Sa pot alege cand platesc si cand nu (cartela pre-paid);;Televiziune prin cablu;;Televiziune cu posibilitate de difuzare online (ex: Orange TV GO, Telekom mobile etc.);;
2893;Femeie;22;Rural;CONSTANTA;Zilnic;Facultate (3-5 ani);Necasatorit/a;Nu;;1;Inginer, economist, doctor, professor;751 - 1.000 lei;Asa si-asa;Mi se potriveste destul de bine;Cu siguranta da;Acceptabil;Scump;10;Probabil NU il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;Multe filme/ seriale;;Sa aiba semnal bun/ de calitate;;;;;;;;;;;Televiziune prin cablu;Televiziune prin satelit;;Servicii de online streaming (Netflix, HBO GO etc.);Nu avem niciun fel de televiziune
2894;Barbat;39;Rural;TULCEA;Zilnic;Gimnaziu (8 clase);Necasatorit/a;Da;1 copil;4;Nu lucrez;Nu realizez venituri;Asa si-asa;Nu mi se potriveste deloc;Poate da, poate nu;Acceptabil;Acceptabil;7;Probabil il voi schimba in urmatoarele 6 luni;Probabil voi contracta servicii de TV online sau streaming;;;;Pretul abonamentului / serviciului;;;;;Sa transmita prin fibra optica;;;;;Sa pot alege cand platesc si cand nu (cartela pre-paid);;Televiziune prin cablu;;;;
2895;Barbat;37;Urban;BUCURESTI;Zilnic;Facultate (3-5 ani);Uniune consensuala/ Casatorit/a;Nu;;4;Inginer, economist, doctor, professor;Refuz sa raspund;imi place mult;Mi se potriveste destul de bine;Probabil da;;;9;Poate il voi schimba, poate nu;Probabil NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;;Sa aiba semnal bun/ de calitate;;;Sa aiba pachet complet (cu internet);Sa transmita prin fibra optica;;;;;;;Televiziune prin cablu;;;;
2896;Barbat;68;Urban;BUCURESTI;Zilnic;Facultate (3-5 ani);Uniune consensuala/ Casatorit/a;Da;2 copii;5;Muncitor calificat;Nu realizez venituri;Asa si-asa;Asa si-asa;Probabil da;;;8;Probabil NU il voi schimba in urmatoarele 6 luni;Probabil voi contracta servicii de TV online sau streaming;Nu gasesc valoare in continutul de la TV;Grila de programe variata;;;Sa aiba semnal bun/ de calitate;;;Sa aiba pachet complet (cu internet);;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);;;;;;Televiziune prin cablu;;;;
2897;Barbat;34;Rural;DOLJ;Zilnic;Studii postuniversitare (master, doctorat);Uniune consensuala/ Casatorit/a;Da;1 copil;2;Inginer, economist, doctor, professor;1.001 - 1.700 lei;Nu prea-mi place;Nu mi se potriveste deloc;Mai degraba nu;Ieftin;Acceptabil;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Probabil voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;;;;;;;;;;Sa aiba acoperire ampla (nu doar in Romania);;;Televiziune prin cablu;;Televiziune cu posibilitate de difuzare online (ex: Orange TV GO, Telekom mobile etc.);;
2898;Femeie;50;Rural;HUNEDOARA;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;2 copii;3;Detin o afacere;Nu realizez venituri;Nu-mi place deloc;Nu mi se potriveste deloc;Cu siguranta nu;Acceptabil;Scump;9;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;As vrea sa ma uit, dar nu am timp;Grila de programe variata;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;;;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);;;;;;Televiziune prin cablu;;;;
2899;Femeie;27;Rural;SUCEAVA;Zilnic;Facultate (3-5 ani);Uniune consensuala/ Casatorit/a;Da;1 copil;3;Functionar;1.701 - 2.000 lei;imi place foarte mult;Mi se potriveste destul de bine;Poate da, poate nu;Prea scump;Prea scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Probabil NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;;;Rapiditatea rezolvarii problemelor tehnice;;;;;;;;Sa pot alege cand platesc si cand nu (cartela pre-paid);;Televiziune prin cablu;;;;
2900;Barbat;56;Urban;BRASOV;Zilnic;Treapta 1 de liceu (10 clase);Refuz sa raspund;Da;3 copii;0;Nu lucrez;1.001 - 1.700 lei;Nu-mi place deloc;Nu mi se potriveste deloc;Cu siguranta nu;Acceptabil;Prea scump;9;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Probabil voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;;;;;;;;;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;;;;Televiziune prin cablu;;;;
2901;Barbat;36;Urban;PRAHOVA;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;3 copii;3;Muncitor calificat;1.001 - 1.700 lei;Asa si-asa;Nu mi se potriveste deloc;Poate da, poate nu;Acceptabil;Scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Probabil voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;Pretul abonamentului / serviciului;;;;;;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);;;Sa aiba acoperire ampla (nu doar in Romania);Sa pot alege cand platesc si cand nu (cartela pre-paid);;;Televiziune prin satelit;;;
2902;Barbat;60;Rural;BUZAU;Zilnic;Refuz sa raspund;Uniune consensuala/ Casatorit/a;Da;2 copii;3;Muncitor calificat;Refuz sa raspund;Asa si-asa;Asa si-asa;Cu siguranta da;Prea scump;Prea scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;Nu gasesc valoare in continutul de la TV;Grila de programe variata;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;;;;;;;;;;;Televiziune cu posibilitate de difuzare online (ex: Orange TV GO, Telekom mobile etc.);;
2903;Femeie;31;Urban;IASI;Zilnic;Refuz sa raspund;Uniune consensuala/ Casatorit/a;Da;1 copil;6;Muncitor calificat;Nu realizez venituri;Nu-mi place deloc;Nu mi se potriveste deloc;Cu siguranta nu;Acceptabil;Scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta voi contracta servicii de TV online sau streaming;Ma distrage de la alte activitati/ as pierde timpul;;;Pretul abonamentului / serviciului;;;;;;;;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;Sa aiba acoperire ampla (nu doar in Romania);Sa pot alege cand platesc si cand nu (cartela pre-paid);;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
2904;Femeie;28;Rural;SUCEAVA;Zilnic;Liceu (12 clase);Necasatorit/a;Nu;;5;Detin o afacere;Nu realizez venituri;Nu prea-mi place;Nu prea mi se potriveste;Poate da, poate nu;;;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;;Sa aiba semnal bun/ de calitate;;;;;;;;;;;Televiziune prin cablu;;;;
2905;Barbat;37;Urban;TIMIS;De 4-5 ori pe saptamana;Treapta 1 de liceu (10 clase);Uniune consensuala/ Casatorit/a;Da;3 copii;0;Nu lucrez;1.001 - 1.700 lei;Nu prea-mi place;Asa si-asa;Poate da, poate nu;Ieftin;;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;;;;;;;;Sa aiba oferte/ promotii;;;Sa pot alege cand platesc si cand nu (cartela pre-paid);;Televiziune prin cablu;;;;
2906;Barbat;43;Urban;BUZAU;Zilnic;Liceu (12 clase);Necasatorit/a;Da;1 copil;4;Detin o afacere;Nu realizez venituri;imi place mult;Mi se potriveste destul de bine;Probabil da;Prea scump;Scump;7;Probabil il voi schimba in urmatoarele 6 luni;Probabil voi contracta servicii de TV online sau streaming;Nu gasesc valoare in continutul de la TV;;;;;Rapiditatea rezolvarii problemelor tehnice;;Sa aiba pachet complet (cu internet);;;;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;Sa aiba acoperire ampla (nu doar in Romania);;;Televiziune prin cablu;;;;
2907;Femeie;35;Urban;BUCURESTI;Zilnic;Refuz sa raspund;Refuz sa raspund;Da;2 copii;3;Refuz;2.001 - 3.000 lei;Asa si-asa;Asa si-asa;Mai degraba nu;;;5;Probabil NU il voi schimba in urmatoarele 6 luni;Probabil voi contracta servicii de TV online sau streaming;Prefer surse mai moderne de divertisment (internet, social media etc.);;;;Sa aiba semnal bun/ de calitate;;;Sa aiba pachet complet (cu internet);;;;;;;;Televiziune prin cablu;;;;
2908;Barbat;49;Urban;TULCEA;Zilnic;Facultate (3-5 ani);Uniune consensuala/ Casatorit/a;Nu;;7;Profesii liberale: architect, notar, avocat, specialist IT, etc.;751 - 1.000 lei;Nu prea-mi place;Nu mi se potriveste deloc;Mai degraba nu;Acceptabil;Scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;;;;;;;;;;;Sa pot alege cand platesc si cand nu (cartela pre-paid);;Televiziune prin cablu;;;;
